MESSAGE,RESPONSE
What are the requirements for me to adopt my nephew whom I have been caring like my own for 7 years after parents' divorce?,You may wish to visit this site: https://app.adoption.gov.sg/AdoptionProcess.aspx
"how to have a properly adopted in accordance with the laws of Singapore for my godson,who is a PR now",You may want to refer to this site:https://app.msf.gov.sg/Adoption/How-to-adopt-a-citizen-or-PR
we have been raising our grandchild from birth till 4 now. our daughter bore her out of wedlock and since left us. how can we apply for adoption/legal guardian?,You would have to apply to the Family Courts: see https://www.familyjusticecourts.gov.sg/Common/Pages/Adoption.aspx for more information. You are advised to consult a lawyer as there are various processes involved.
"I was legally adopted since young. Many years later, i found my biological parents. How do i legally formalize our relationship?",Your biological parents will have to apply to the family court for an adoption order (the law recognizes your adopted parents as your legal parents). There are various requirements - and you must be less than 21 years old at the date of the application. You are advised to consult a lawyer if you wish to proceed.
Can an adoption be reversed? Both adoptive parents and birth mother have discussed and are willing.,"We are not aware of any such cases as the Adoption Act does not provide for the reversal of adoption. However, as a matter of principle, this should be possible - the birth mother can adopt the child back."
"My Vietnamese wife is a divorcee with a 4 yr old daughter. How do I go about legally adopting her as my step daughter? My wife has full custody, as stated in her divorce paper. How is this process take and what kind of range of lawyer fees I'm looking","The process of adoption is set out at http://app.msf.gov.sg/Adoption/Whocanadopt.aspxDepending on the specific details, the entire process will take a few months. The fees will vary between firms - you are advised to check with various firms for a quote."
How can I adopt a daughter in Singapore?,Please see this link:http://app.msf.gov.sg/Adoption/Whocanadopt.aspx
Parents were born in China and adopted a child. Does the adopted child entitled to the parents intestate estate ?,"This depends on whether the child has been properly adopted in accordance with the laws of Singapore. If the child is properly adopted, then by virtue of section 3 of the Intestate Succession Act, he or she will be properly entitled to the parent's estate, subject to the terms of the Intestate Succession Act. Section 3 provides that  ?child? means a legitimate child and includes any child adopted by virtue of an order of court under any written law for the time being in force in Singapore, Malaysia or Brunei."
How can I adopt a son in Singapore?,"In order to adopt a child in Singapore, you must fulfil certain guidelines laid down by the Ministry of Social and Family Development. These can be found here: http://app.customerfeedback.mcys.gov.sg/fcd_faqmain.asp?strFAQSysid=2004919155835&strItemChoice=200499134018&strSubItemChoice=2004919114225&action=SHOWTOPICS&m_strTopicSysID=2004919114242 Essentially, the requirements are that you must be a resident of Singapore, be at least 25 years of age and be at least 21 years older than the child. There are other requirements which may found at the link above."
"As an applicant, what is the effect if I adopt a child?","Once the adoption order is made, you take on all parental rights, duties, obligations and liabilities in relation to the child: e.g. you will have to maintain the child and look after his physical, mental and social well-being. You will have the right to make decisions in relation to the child: e.g. education, religion and medical treatment."
"As a parent, what is the effect if I consent to my child being adopted?","One of the requirements before an adoption order can be made is that the consent of the natural parent is given in the prescribed form. By signing the prescribed form, you would be stating under oath that you understand the nature and effect of an adoption order; in particular, you will be deprived of your parental rights to the child. All your rights, duties, obligations and liabilities to the child are extinguished. Once the adoption order is made, the parental ties between you and the child are severed and you will not be able to see your child."
What is adoption?,"Adoption is a legal process where parental rights over a child are conferred to the applicants, who may not be the natural parents of the child. The Court will appoint a Guardian in Adoption (GIA) for the child, whose role is to safeguard the child? s legal interest before the Court. The GIA will investigate the circumstances of the adoption and report to the Court. The Court would only grant an adoption order after it is satisfied that the requirements of the Adoption of Children Act (Cap 4) have been complied with and that it is in the best interests of the child to be adopted."
Can a foreigner Muslim married man allowed to be married a Singaporean wife as his second wife?,You would have to obtain permission from the Kadi (and also MOM if you intend to stay in Singapore). Please visit this site for more details:https://www.romm.gov.sg/about_marriage/romm_polygyny.asp
Am I able to marry a foreigner who has undergone sex reassignment but is not able to change gender legally on her identity card?,No.
"In our agreed Matrimonial Property plan, it is documented to sell our flat within one year of our Final Judgement Order. Now, we want to delay the sale for another 3 years, do we need to file for a court order to update this or can we just mutually agree","You can mutually agree although we suggest that this should be recorded in writing. However, if a breach of this agreement arises and you wish to enforce the Court order, you may need to vary the order later (this depends on the specific terms of your agreement)."
my parents are pioneer generations who only had customary wedding in Singapore n did not ROM.how to proof they r husband n wife cos we need to bring such proof to china for some legal matters. Thanks,You can try calling the ROM and asking them.
"An expat man, from European Union (EU) country, and a Singaporean woman plan to get married. From man's pov, where is better to sign marriage certificate, in Singapore or in EU? Does it matter in the case of an unpleasant situation of divorce?",It depends on which country and the specific concerns and issues that are at hand.
"Can I legally have 2 marriage certificates in different country, one in Singapore and one in Indonesia? I plan solemnization in Singapore and my grand wedding in Indonesia and here I need to sign marriage certificate Indonesia version.","yes. However, you should seek legal advice on Indonesian law."
"My husband & me are PR, do we need to sell the HDB flat if we divorce ? If I'm Spore citizen, can keep the HDB flat ?","This depends on the Court order, and whether either of you are able to comply with the HDB rules."
Can I sue my husband (we are still legally married) for slander and emotional distress? He left home 3 months ago.,"Yes, you can sue your spouse."
Can a woman demand a man to marry her if she is found to pregnant with his child? What actions can be taken if the man rejects all responsibilities for mother and unborn child?,"No - the women cannot demand for marriage - that is a moral obligation, not a legal obligation. The mother can apply for maintenance on behalf of the child (after the child is born)."
A divorce obtained overseas does it need to be registered in singapore,There is generally no obligation to register a divorce in Singapore.
